Row,Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size,,Check State,,
281,Seasonal Influenza,States,Maryland,2018-19,All Health Care Personnel,97.2,,"103,565",,,,
282,Seasonal Influenza,States,Massachusetts,2018-19,All Health Care Personnel,94.9,,"271,247",,,,
283,Seasonal Influenza,States,Michigan,2018-19,All Health Care Personnel,92.2,,"302,309",,,,
284,Seasonal Influenza,States,Minnesota,2018-19,All Health Care Personnel,85.1,,"177,490",,,,
285,Seasonal Influenza,States,Mississippi,2018-19,All Health Care Personnel,88,,"84,592",,,,
286,Seasonal Influenza,States,Missouri,2018-19,All Health Care Personnel,94,,"210,719",,,,
287,Seasonal Influenza,States,Montana,2018-19,All Health Care Personnel,90.7,,"35,205",,,,
288,Seasonal Influenza,States,Nebraska,2018-19,All Health Care Personnel,92.3,,"59,299",,,,
289,Seasonal Influenza,States,Nevada,2018-19,All Health Care Personnel,82.9,,"55,565",,,,
290,Seasonal Influenza,States,New Hampshire,2018-19,All Health Care Personnel,94.6,,"46,810",,,,
291,Seasonal Influenza,States,New Jersey,2018-19,All Health Care Personnel,88.6,,"219,114",,,,
292,Seasonal Influenza,States,New Mexico,2018-19,All Health Care Personnel,88.2,,"49,493",,,,
293,Seasonal Influenza,States,New York,2018-19,All Health Care Personnel,87,,"594,292",,,,
294,Seasonal Influenza,States,North Carolina,2018-19,All Health Care Personnel,94.5,,"270,414",,,,
295,Seasonal Influenza,States,North Dakota,2018-19,All Health Care Personnel,93.1,,"37,179",,,,
296,Seasonal Influenza,States,Ohio,2018-19,All Health Care Personnel,87.3,,"377,862",,,,
297,Seasonal Influenza,States,Oklahoma,2018-19,All Health Care Personnel,94.2,,"105,150",,,,
298,Seasonal Influenza,States,Oregon,2018-19,All Health Care Personnel,85.8,,"101,103",,,,
299,Seasonal Influenza,States,Pennsylvania,2018-19,All Health Care Personnel,93.4,,"395,570",,,,
300,Seasonal Influenza,National,United States,2018-19,All Health Care Personnel,90,,"8,709,964",,,,
301,Seasonal Influenza,States,Rhode Island,2018-19,All Health Care Personnel,92.9,,"36,451",,,,
302,Seasonal Influenza,States,South Carolina,2018-19,All Health Care Personnel,90.8,,"121,770",,,,
303,Seasonal Influenza,States,South Dakota,2018-19,All Health Care Personnel,96.5,,"32,853",,,,
304,Seasonal Influenza,States,Tennessee,2018-19,All Health Care Personnel,91.6,,"193,828",,,,
305,Seasonal Influenza,States,Texas,2018-19,All Health Care Personnel,89.3,,"598,426",,,,
306,Seasonal Influenza,States,Utah,2018-19,All Health Care Personnel,95.1,,"72,680",,,,
307,Seasonal Influenza,States,Vermont,2018-19,All Health Care Personnel,82.2,,"22,525",,,,
308,Seasonal Influenza,States,Virginia,2018-19,All Health Care Personnel,90.9,,"176,737",,,,
309,Seasonal Influenza,States,Washington,2018-19,All Health Care Personnel,91.1,,"176,500",,,,
310,Seasonal Influenza,States,West Virginia,2018-19,All Health Care Personnel,93.1,,"68,845",,,,
311,Seasonal Influenza,States,Wisconsin,2018-19,All Health Care Personnel,96.2,,"207,191",,,,
312,Seasonal Influenza,States,Wyoming,2018-19,All Health Care Personnel,91.5,,"15,118",,,,
313,Seasonal Influenza,States,Alabama,2020-21,All Health Care Personnel,86.9,,"128,560",,,,
314,Seasonal Influenza,States,Alaska,2020-21,All Health Care Personnel,79,,"21,923",,,,
315,Seasonal Influenza,States,Arizona,2020-21,All Health Care Personnel,84.5,,"127,534",,,,
316,Seasonal Influenza,States,Arkansas,2020-21,All Health Care Personnel,88.7,,"84,684",,,,
317,Seasonal Influenza,States,California,2020-21,All Health Care Personnel,80.1,,"830,517",,,,
318,Seasonal Influenza,States,Colorado,2020-21,All Health Care Personnel,95.7,,"147,723",,,,
319,Seasonal Influenza,States,Connecticut,2020-21,All Health Care Personnel,87.7,,"98,812",,,,
320,Seasonal Influenza,States,Delaware,2020-21,All Health Care Personnel,90.8,,"30,342",,,,
321,Seasonal Influenza,States,District of Columbia,2020-21,All Health Care Personnel,93.2,,"22,862",,,,
322,Seasonal Influenza,States,Florida,2020-21,All Health Care Personnel,72.7,,"483,939",,,,
323,Seasonal Influenza,States,Georgia,2020-21,All Health Care Personnel,83.3,,"233,735",,,,
324,Seasonal Influenza,States,Hawaii,2020-21,All Health Care Personnel,82.7,,"28,146",,,,
325,Seasonal Influenza,States,Idaho,2020-21,All Health Care Personnel,89.8,,"48,075",,,,
326,Seasonal Influenza,States,Illinois,2020-21,All Health Care Personnel,91.6,,"318,033",,,,
327,Seasonal Influenza,States,Indiana,2020-21,All Health Care Personnel,89.2,,"223,303",,,,
328,Seasonal Influenza,States,Iowa,2020-21,All Health Care Personnel,93.4,,"93,040",,,,
329,Seasonal Influenza,States,Kansas,2020-21,All Health Care Personnel,91.3,,"82,291",,,,
330,Seasonal Influenza,States,Kentucky,2020-21,All Health Care Personnel,85.9,,"131,972",,,,
331,Seasonal Influenza,States,Louisiana,2020-21,All Health Care Personnel,81.1,,"142,536",,,,
332,Seasonal Influenza,States,Maine,2020-21,All Health Care Personnel,91.9,,"39,750",,,,
333,Seasonal Influenza,States,Maryland,2020-21,All Health Care Personnel,95.5,,"113,378",,,,
334,Seasonal Influenza,States,Massachusetts,2020-21,All Health Care Personnel,95.6,,"244,494",,,,
335,Seasonal Influenza,States,Michigan,2020-21,All Health Care Personnel,89.5,,"279,196",,,,
336,Seasonal Influenza,States,Minnesota,2020-21,All Health Care Personnel,82.9,,"146,825",,,,
337,Seasonal Influenza,States,Mississippi,2020-21,All Health Care Personnel,81.1,,"79,821",,,,
338,Seasonal Influenza,States,Missouri,2020-21,All Health Care Personnel,93.9,,"182,937",,,,
339,Seasonal Influenza,States,Montana,2020-21,All Health Care Personnel,86,,"34,495",,,,
340,Seasonal Influenza,States,Nebraska,2020-21,All Health Care Personnel,88,,"59,594",,,,
341,Seasonal Influenza,States,Nevada,2020-21,All Health Care Personnel,69.3,,"54,757",,,,
342,Seasonal Influenza,States,New Hampshire,2020-21,All Health Care Personnel,94.8,,"45,045",,,,
343,Seasonal Influenza,States,New Jersey,2020-21,All Health Care Personnel,87.5,,"205,079",,,,
344,Seasonal Influenza,States,New Mexico,2020-21,All Health Care Personnel,80.5,,"50,101",,,,
345,Seasonal Influenza,States,New York,2020-21,All Health Care Personnel,78.6,,"562,603",,,,
346,Seasonal Influenza,States,North Carolina,2020-21,All Health Care Personnel,95.1,,"259,291",,,,
347,Seasonal Influenza,States,North Dakota,2020-21,All Health Care Personnel,92.2,,"32,626",,,,
348,Seasonal Influenza,States,Ohio,2020-21,All Health Care Personnel,86.6,,"368,477",,,,
349,Seasonal Influenza,States,Oklahoma,2020-21,All Health Care Personnel,92.7,,"99,034",,,,
350,Seasonal Influenza,States,Oregon,2020-21,All Health Care Personnel,70.7,,"103,256",,,,
351,Seasonal Influenza,States,Pennsylvania,2020-21,All Health Care Personnel,91.5,,"346,462",,,,
352,Seasonal Influenza,National,United States,2020-21,All Health Care Personnel,85.9,,"8,214,305",,,,
353,Seasonal Influenza,States,Rhode Island,2020-21,All Health Care Personnel,83,,"35,847",,,,
354,Seasonal Influenza,States,South Carolina,2020-21,All Health Care Personnel,91,,"124,238",,,,
355,Seasonal Influenza,States,South Dakota,2020-21,All Health Care Personnel,96.4,,"35,022",,,,
356,Seasonal Influenza,States,Tennessee,2020-21,All Health Care Personnel,87.8,,"193,148",,,,
357,Seasonal Influenza,States,Texas,2020-21,All Health Care Personnel,83.6,,"541,380",,,,
358,Seasonal Influenza,States,Utah,2020-21,All Health Care Personnel,94.1,,"78,138",,,,
359,Seasonal Influenza,States,Vermont,2020-21,All Health Care Personnel,83.8,,"19,214",,,,
360,Seasonal Influenza,States,Virginia,2020-21,All Health Care Personnel,85.2,,"164,160",,,,
361,Seasonal Influenza,States,Washington,2020-21,All Health Care Personnel,84.3,,"167,724",,,,
362,Seasonal Influenza,States,West Virginia,2020-21,All Health Care Personnel,91.7,,"63,649",,,,
363,Seasonal Influenza,States,Wisconsin,2020-21,All Health Care Personnel,93.6,,"192,391",,,,
364,Seasonal Influenza,States,Wyoming,2020-21,All Health Care Personnel,88.5,,"14,146",,,,
365,Seasonal Influenza,States,Alabama,2013-14,Employees,76.5,,"85,312",,,,
366,Seasonal Influenza,States,Alaska,2013-14,Employees,78.7,,"10,408",,,,
367,Seasonal Influenza,States,Arizona,2013-14,Employees,82,,"92,020",,,,
368,Seasonal Influenza,States,Arkansas,2013-14,Employees,88,,"57,881",,,,
369,Seasonal Influenza,States,California,2013-14,Employees,83.4,,"562,695",,,,
370,Seasonal Influenza,States,Colorado,2013-14,Employees,97.1,,"77,766",,,,
371,Seasonal Influenza,States,Connecticut,2013-14,Employees,87.6,,"75,622",,,,
372,Seasonal Influenza,States,Delaware,2013-14,Employees,93.7,,"20,501",,,,
373,Seasonal Influenza,States,District of Columbia,2013-14,Employees,96.4,,"26,801",,,,
374,Seasonal Influenza,States,Florida,2013-14,Employees,72.4,,"297,609",,,,
375,Seasonal Influenza,States,Georgia,2013-14,Employees,88.7,,"150,315",,,,
376,Seasonal Influenza,States,Hawaii,2013-14,Employees,69,,"18,618",,,,
377,Seasonal Influenza,States,Idaho,2013-14,Employees,86.9,,"23,254",,,,
378,Seasonal Influenza,States,Illinois,2013-14,Employees,87.8,,"244,930",,,,
379,Seasonal Influenza,States,Indiana,2013-14,Employees,90.3,,"141,308",,,,
380,Seasonal Influenza,States,Iowa,2013-14,Employees,95.2,,"70,001",,,,
381,Seasonal Influenza,States,Kansas,2013-14,Employees,92,,"49,464",,,,
382,Seasonal Influenza,States,Kentucky,2013-14,Employees,81.5,,"84,823",,,,
383,Seasonal Influenza,States,Louisiana,2013-14,Employees,77,,"94,319",,,,
384,Seasonal Influenza,States,Maine,2013-14,Employees,86.5,,"33,401",,,,
385,Seasonal Influenza,States,Maryland,2013-14,Employees,97.3,,"92,978",,,,
386,Seasonal Influenza,States,Massachusetts,2013-14,Employees,87.1,,"185,846",,,,
387,Seasonal Influenza,States,Michigan,2013-14,Employees,87,,"208,776",,,,
388,Seasonal Influenza,States,Minnesota,2013-14,Employees,79.4,,"110,338",,,,
389,Seasonal Influenza,States,Mississippi,2013-14,Employees,75.6,,"59,462",,,,
390,Seasonal Influenza,States,Missouri,2013-14,Employees,93,,"132,090",,,,
391,Seasonal Influenza,States,Montana,2013-14,Employees,87.4,,"18,771",,,,
392,Seasonal Influenza,States,Nebraska,2013-14,Employees,94.3,,"33,475",,,,
393,Seasonal Influenza,States,Nevada,2013-14,Employees,88.2,,"28,511",,,,
394,Seasonal Influenza,States,New Hampshire,2013-14,Employees,94.5,,"27,610",,,,
395,Seasonal Influenza,States,New Jersey,2013-14,Employees,70.8,,"145,842",,,,
396,Seasonal Influenza,States,New Mexico,2013-14,Employees,83.1,,"30,767",,,,
397,Seasonal Influenza,States,New York,2013-14,Employees,85.9,,"416,569",,,,
398,Seasonal Influenza,States,North Carolina,2013-14,Employees,94.8,,"175,134",,,,
399,Seasonal Influenza,States,North Dakota,2013-14,Employees,91.3,,"16,939",,,,
400,Seasonal Influenza,States,Ohio,2013-14,Employees,87.1,,"277,806",,,,
401,Seasonal Influenza,States,Oklahoma,2013-14,Employees,87.1,,"68,680",,,,
402,Seasonal Influenza,States,Oregon,2013-14,Employees,82.3,,"66,624",,,,
403,Seasonal Influenza,States,Pennsylvania,2013-14,Employees,86.2,,"309,392",,,,
404,Seasonal Influenza,National,United States,2013-14,Employees,86.1,,"5,683,406",,,,
405,Seasonal Influenza,States,Rhode Island,2013-14,Employees,89.7,,"23,552",,,,
406,Seasonal Influenza,States,South Carolina,2013-14,Employees,85,,"89,339",,,,
407,Seasonal Influenza,States,South Dakota,2013-14,Employees,94.9,,"21,774",,,,
408,Seasonal Influenza,States,Tennessee,2013-14,Employees,87.2,,"122,578",,,,
409,Seasonal Influenza,States,Texas,2013-14,Employees,91.3,,"350,392",,,,
410,Seasonal Influenza,States,Utah,2013-14,Employees,97.6,,"41,490",,,,
411,Seasonal Influenza,States,Vermont,2013-14,Employees,78.3,,"13,774",,,,
412,Seasonal Influenza,States,Virginia,2013-14,Employees,88.6,,"107,748",,,,
413,Seasonal Influenza,States,Washington,2013-14,Employees,90.9,,"106,311",,,,
414,Seasonal Influenza,States,West Virginia,2013-14,Employees,82.4,,"47,033",,,,
415,Seasonal Influenza,States,Wisconsin,2013-14,Employees,92.2,,"127,913",,,,
416,Seasonal Influenza,States,Wyoming,2013-14,Employees,89.3,,"8,844",,,,
417,Seasonal Influenza,States,Alabama,2014-15,Employees,80.5,,"85,218",,,,
418,Seasonal Influenza,States,Alaska,2014-15,Employees,75.3,,"12,445",,,,
419,Seasonal Influenza,States,Arizona,2014-15,Employees,90.2,,"93,666",,,,
420,Seasonal Influenza,States,Arkansas,2014-15,Employees,89,,"56,926",,,,
421,Seasonal Influenza,States,California,2014-15,Employees,86.5,,"566,936",,,,
422,Seasonal Influenza,States,Colorado,2014-15,Employees,98.3,,"101,920",,,,
423,Seasonal Influenza,States,Connecticut,2014-15,Employees,87.7,,"75,836",,,,
424,Seasonal Influenza,States,Delaware,2014-15,Employees,94.1,,"21,479",,,,
425,Seasonal Influenza,States,District of Columbia,2014-15,Employees,94.7,,"26,549",,,,
426,Seasonal Influenza,States,Florida,2014-15,Employees,79.4,,"308,140",,,,
427,Seasonal Influenza,States,Georgia,2014-15,Employees,88.8,,"159,844",,,,
428,Seasonal Influenza,States,Hawaii,2014-15,Employees,75.2,,"19,497",,,,
429,Seasonal Influenza,States,Idaho,2014-15,Employees,89.5,,"26,157",,,,
430,Seasonal Influenza,States,Illinois,2014-15,Employees,90.2,,"243,591",,,,
431,Seasonal Influenza,States,Indiana,2014-15,Employees,89.3,,"133,845",,,,
432,Seasonal Influenza,States,Iowa,2014-15,Employees,95,,"71,419",,,,
433,Seasonal Influenza,States,Kansas,2014-15,Employees,95.7,,"51,155",,,,
434,Seasonal Influenza,States,Kentucky,2014-15,Employees,87.2,,"83,472",,,,
435,Seasonal Influenza,States,Louisiana,2014-15,Employees,85.4,,"90,751",,,,
436,Seasonal Influenza,States,Maine,2014-15,Employees,87.2,,"34,664",,,,
437,Seasonal Influenza,States,Maryland,2014-15,Employees,98,,"107,671",,,,
438,Seasonal Influenza,States,Massachusetts,2014-15,Employees,89.3,,"189,012",,,,
439,Seasonal Influenza,States,Michigan,2014-15,Employees,87,,"216,670",,,,
440,Seasonal Influenza,States,Minnesota,2014-15,Employees,81.3,,"106,898",,,,
441,Seasonal Influenza,States,Mississippi,2014-15,Employees,84.4,,"59,248",,,,
442,Seasonal Influenza,States,Missouri,2014-15,Employees,95.1,,"137,207",,,,
443,Seasonal Influenza,States,Montana,2014-15,Employees,87.6,,"18,767",,,,
444,Seasonal Influenza,States,Nebraska,2014-15,Employees,95,,"33,142",,,,
445,Seasonal Influenza,States,Nevada,2014-15,Employees,87.5,,"31,246",,,,
446,Seasonal Influenza,States,New Hampshire,2014-15,Employees,95,,"31,369",,,,
447,Seasonal Influenza,States,New Jersey,2014-15,Employees,76.2,,"142,816",,,,
448,Seasonal Influenza,States,New Mexico,2014-15,Employees,86,,"31,889",,,,
449,Seasonal Influenza,States,New York,2014-15,Employees,86.3,,"405,771",,,,
450,Seasonal Influenza,States,North Carolina,2014-15,Employees,96.8,,"174,552",,,,
451,Seasonal Influenza,States,North Dakota,2014-15,Employees,90.1,,"19,643",,,,
452,Seasonal Influenza,States,Ohio,2014-15,Employees,89.1,,"281,144",,,,
453,Seasonal Influenza,States,Oklahoma,2014-15,Employees,91.2,,"70,372",,,,
454,Seasonal Influenza,States,Oregon,2014-15,Employees,83.8,,"68,672",,,,
455,Seasonal Influenza,States,Pennsylvania,2014-15,Employees,89.5,,"289,888",,,,
456,Seasonal Influenza,National,United States,2014-15,Employees,88.6,,"5,757,764",,,,
457,Seasonal Influenza,States,Rhode Island,2014-15,Employees,89.7,,"23,500",,,,
458,Seasonal Influenza,States,South Carolina,2014-15,Employees,87.8,,"89,834",,,,
459,Seasonal Influenza,States,South Dakota,2014-15,Employees,95.2,,"21,678",,,,
460,Seasonal Influenza,States,Tennessee,2014-15,Employees,88.3,,"121,593",,,,
461,Seasonal Influenza,States,Texas,2014-15,Employees,92.6,,"349,700",,,,
462,Seasonal Influenza,States,Utah,2014-15,Employees,97.5,,"42,762",,,,
463,Seasonal Influenza,States,Vermont,2014-15,Employees,78.9,,"14,080",,,,
464,Seasonal Influenza,States,Virginia,2014-15,Employees,91.4,,"110,233",,,,
465,Seasonal Influenza,States,Washington,2014-15,Employees,89.8,,"117,658",,,,
466,Seasonal Influenza,States,West Virginia,2014-15,Employees,83.9,,"47,013",,,,
467,Seasonal Influenza,States,Wisconsin,2014-15,Employees,94.2,,"130,431",,,,
468,Seasonal Influenza,States,Wyoming,2014-15,Employees,88.8,,"9,795",,,,
469,Seasonal Influenza,States,Alabama,2015-16,Employees,80.6,,"84,868",,,,
470,Seasonal Influenza,States,Alaska,2015-16,Employees,67.3,,"12,595",,,,
471,Seasonal Influenza,States,Arizona,2015-16,Employees,90.8,,"93,542",,,,
472,Seasonal Influenza,States,Arkansas,2015-16,Employees,88.6,,"60,823",,,,
473,Seasonal Influenza,States,California,2015-16,Employees,86.7,,"590,105",,,,
474,Seasonal Influenza,States,Colorado,2015-16,Employees,97.6,,"86,465",,,,
475,Seasonal Influenza,States,Connecticut,2015-16,Employees,89.5,,"70,023",,,,
476,Seasonal Influenza,States,Delaware,2015-16,Employees,94.2,,"23,069",,,,
477,Seasonal Influenza,States,District of Columbia,2015-16,Employees,96.8,,"26,067",,,,
478,Seasonal Influenza,States,Florida,2015-16,Employees,83,,"321,315",,,,
479,Seasonal Influenza,States,Georgia,2015-16,Employees,90.8,,"159,503",,,,
480,Seasonal Influenza,States,Hawaii,2015-16,Employees,79,,"20,111",,,,
481,Seasonal Influenza,States,Idaho,2015-16,Employees,94.7,,"31,873",,,,
482,Seasonal Influenza,States,Illinois,2015-16,Employees,91.9,,"249,531",,,,
483,Seasonal Influenza,States,Indiana,2015-16,Employees,91.8,,"141,003",,,,
484,Seasonal Influenza,States,Iowa,2015-16,Employees,94.9,,"76,881",,,,
485,Seasonal Influenza,States,Kansas,2015-16,Employees,95.3,,"54,436",,,,
486,Seasonal Influenza,States,Kentucky,2015-16,Employees,90,,"94,768",,,,
487,Seasonal Influenza,States,Louisiana,2015-16,Employees,86.2,,"94,724",,,,
488,Seasonal Influenza,States,Maine,2015-16,Employees,84.5,,"38,245",,,,
489,Seasonal Influenza,States,Maryland,2015-16,Employees,97.6,,"97,918",,,,
490,Seasonal Influenza,States,Massachusetts,2015-16,Employees,90.7,,"194,039",,,,
491,Seasonal Influenza,States,Michigan,2015-16,Employees,90.4,,"227,858",,,,
492,Seasonal Influenza,States,Minnesota,2015-16,Employees,82.8,,"122,696",,,,
493,Seasonal Influenza,States,Mississippi,2015-16,Employees,83,,"64,838",,,,
494,Seasonal Influenza,States,Missouri,2015-16,Employees,95.1,,"145,066",,,,
495,Seasonal Influenza,States,Montana,2015-16,Employees,87.1,,"24,184",,,,
496,Seasonal Influenza,States,Nebraska,2015-16,Employees,95.2,,"39,388",,,,
497,Seasonal Influenza,States,Nevada,2015-16,Employees,89.1,,"31,745",,,,
498,Seasonal Influenza,States,New Hampshire,2015-16,Employees,95.6,,"33,160",,,,
499,Seasonal Influenza,States,New Jersey,2015-16,Employees,86.8,,"146,080",,,,
500,Seasonal Influenza,States,New Mexico,2015-16,Employees,88,,"35,530",,,,
501,Seasonal Influenza,States,New York,2015-16,Employees,86.7,,"429,044",,,,
502,Seasonal Influenza,States,North Carolina,2015-16,Employees,97,,"181,070",,,,
503,Seasonal Influenza,States,North Dakota,2015-16,Employees,90.9,,"26,078",,,,
504,Seasonal Influenza,States,Ohio,2015-16,Employees,88.6,,"287,040",,,,
505,Seasonal Influenza,States,Oklahoma,2015-16,Employees,92.3,,"69,456",,,,
506,Seasonal Influenza,States,Oregon,2015-16,Employees,83,,"69,854",,,,
507,Seasonal Influenza,States,Pennsylvania,2015-16,Employees,92.9,,"280,381",,,,
508,Seasonal Influenza,National,United States,2015-16,Employees,89.8,,"5,967,338",,,,
509,Seasonal Influenza,States,Rhode Island,2015-16,Employees,90.4,,"23,784",,,,
510,Seasonal Influenza,States,South Carolina,2015-16,Employees,91.5,,"91,584",,,,
511,Seasonal Influenza,States,South Dakota,2015-16,Employees,95.9,,"25,332",,,,
512,Seasonal Influenza,States,Tennessee,2015-16,Employees,90.5,,"127,097",,,,
513,Seasonal Influenza,States,Texas,2015-16,Employees,92.2,,"374,210",,,,
514,Seasonal Influenza,States,Utah,2015-16,Employees,98.2,,"43,962",,,,
515,Seasonal Influenza,States,Vermont,2015-16,Employees,78.2,,"17,598",,,,
516,Seasonal Influenza,States,Virginia,2015-16,Employees,91,,"114,777",,,,
517,Seasonal Influenza,States,Washington,2015-16,Employees,91.1,,"122,084",,,,
518,Seasonal Influenza,States,West Virginia,2015-16,Employees,88.6,,"50,089",,,,
519,Seasonal Influenza,States,Wisconsin,2015-16,Employees,95.2,,"130,796",,,,
520,Seasonal Influenza,States,Wyoming,2015-16,Employees,90.7,,"10,653",,,,
521,Seasonal Influenza,States,Alabama,2016-17,Employees,82.1,,"89,977",,,,
522,Seasonal Influenza,States,Alaska,2016-17,Employees,78.5,,"15,178",,,,
523,Seasonal Influenza,States,Arizona,2016-17,Employees,93.3,,"96,287",,,,
524,Seasonal Influenza,States,Arkansas,2016-17,Employees,88.6,,"63,692",,,,
525,Seasonal Influenza,States,California,2016-17,Employees,87.5,,"603,992",,,,
526,Seasonal Influenza,States,Colorado,2016-17,Employees,97.7,,"78,378",,,,
527,Seasonal Influenza,States,Connecticut,2016-17,Employees,92.6,,"71,079",,,,
528,Seasonal Influenza,States,Delaware,2016-17,Employees,95.1,,"23,967",,,,
529,Seasonal Influenza,States,District of Columbia,2016-17,Employees,97.2,,"25,657",,,,
530,Seasonal Influenza,States,Florida,2016-17,Employees,82.5,,"354,685",,,,
531,Seasonal Influenza,States,Georgia,2016-17,Employees,92.2,,"167,358",,,,
532,Seasonal Influenza,States,Hawaii,2016-17,Employees,82.9,,"18,809",,,,
533,Seasonal Influenza,States,Idaho,2016-17,Employees,93.5,,"32,674",,,,
534,Seasonal Influenza,States,Illinois,2016-17,Employees,92.7,,"260,549",,,,
535,Seasonal Influenza,States,Indiana,2016-17,Employees,92,,"150,120",,,,
536,Seasonal Influenza,States,Iowa,2016-17,Employees,95.4,,"81,039",,,,
537,Seasonal Influenza,States,Kansas,2016-17,Employees,95.1,,"64,036",,,,
538,Seasonal Influenza,States,Kentucky,2016-17,Employees,88.4,,"87,268",,,,
539,Seasonal Influenza,States,Louisiana,2016-17,Employees,88.5,,"95,733",,,,
540,Seasonal Influenza,States,Maine,2016-17,Employees,88.8,,"41,222",,,,
541,Seasonal Influenza,States,Maryland,2016-17,Employees,97.8,,"74,462",,,,
542,Seasonal Influenza,States,Massachusetts,2016-17,Employees,91.8,,"199,334",,,,
543,Seasonal Influenza,States,Michigan,2016-17,Employees,92.1,,"241,455",,,,
544,Seasonal Influenza,States,Minnesota,2016-17,Employees,83.2,,"127,624",,,,
545,Seasonal Influenza,States,Mississippi,2016-17,Employees,84.9,,"65,089",,,,
546,Seasonal Influenza,States,Missouri,2016-17,Employees,95.3,,"149,159",,,,
547,Seasonal Influenza,States,Montana,2016-17,Employees,88.8,,"27,407",,,,
548,Seasonal Influenza,States,Nebraska,2016-17,Employees,95.6,,"40,738",,,,
549,Seasonal Influenza,States,Nevada,2016-17,Employees,89.9,,"33,684",,,,
550,Seasonal Influenza,States,New Hampshire,2016-17,Employees,95.6,,"39,440",,,,
551,Seasonal Influenza,States,New Jersey,2016-17,Employees,89.1,,"151,148",,,,
552,Seasonal Influenza,States,New Mexico,2016-17,Employees,89.3,,"34,757",,,,
553,Seasonal Influenza,States,New York,2016-17,Employees,87.6,,"423,138",,,,
554,Seasonal Influenza,States,North Carolina,2016-17,Employees,97.3,,"189,034",,,,
555,Seasonal Influenza,States,North Dakota,2016-17,Employees,91.5,,"27,604",,,,
556,Seasonal Influenza,States,Ohio,2016-17,Employees,90,,"288,648",,,,
557,Seasonal Influenza,States,Oklahoma,2016-17,Employees,92.5,,"70,557",,,,
558,Seasonal Influenza,States,Oregon,2016-17,Employees,83.9,,"79,336",,,,
559,Seasonal Influenza,States,Pennsylvania,2016-17,Employees,92.6,,"290,585",,,,
560,Seasonal Influenza,National,United States,2016-17,Employees,90.5,,"6,157,219",,,,
561,Seasonal Influenza,States,Rhode Island,2016-17,Employees,91.2,,"23,610",,,,
562,Seasonal Influenza,States,South Carolina,2016-17,Employees,90.4,,"96,199",,,,
563,Seasonal Influenza,States,South Dakota,2016-17,Employees,97.3,,"25,345",,,,
564,Seasonal Influenza,States,Tennessee,2016-17,Employees,91.3,,"131,556",,,,
565,Seasonal Influenza,States,Texas,2016-17,Employees,92.4,,"399,540",,,,
566,Seasonal Influenza,States,Utah,2016-17,Employees,98,,"45,760",,,,
567,Seasonal Influenza,States,Vermont,2016-17,Employees,81.2,,"17,255",,,,
568,Seasonal Influenza,States,Virginia,2016-17,Employees,91.7,,"122,618",,,,
569,Seasonal Influenza,States,Washington,2016-17,Employees,91.6,,"129,042",,,,
570,Seasonal Influenza,States,West Virginia,2016-17,Employees,92.6,,"48,243",,,,
571,Seasonal Influenza,States,Wisconsin,2016-17,Employees,94.9,,"132,386",,,,
572,Seasonal Influenza,States,Wyoming,2016-17,Employees,93.1,,"10,766",,,,
573,Seasonal Influenza,States,Alabama,2017-18,Employees,88.8,,"94,464",,,,
574,Seasonal Influenza,States,Alaska,2017-18,Employees,79.6,,"17,105",,,,
575,Seasonal Influenza,States,Arizona,2017-18,Employees,92.7,,"94,791",,,,
576,Seasonal Influenza,States,Arkansas,2017-18,Employees,91.1,,"65,636",,,,
577,Seasonal Influenza,States,California,2017-18,Employees,87.3,,"622,364",,,,
578,Seasonal Influenza,States,Colorado,2017-18,Employees,97.7,,"79,231",,,,
579,Seasonal Influenza,States,Connecticut,2017-18,Employees,93.6,,"71,009",,,,
580,Seasonal Influenza,States,Delaware,2017-18,Employees,93.7,,"27,959",,,,
581,Seasonal Influenza,States,District of Columbia,2017-18,Employees,97.1,,"20,473",,,,
582,Seasonal Influenza,States,Florida,2017-18,Employees,83.8,,"364,588",,,,
583,Seasonal Influenza,States,Georgia,2017-18,Employees,92.7,,"174,714",,,,
584,Seasonal Influenza,States,Hawaii,2017-18,Employees,83.5,,"21,371",,,,
585,Seasonal Influenza,States,Idaho,2017-18,Employees,95.7,,"34,342",,,,
586,Seasonal Influenza,States,Illinois,2017-18,Employees,94.4,,"256,976",,,,
587,Seasonal Influenza,States,Indiana,2017-18,Employees,90.8,,"153,822",,,,
588,Seasonal Influenza,States,Iowa,2017-18,Employees,95.1,,"79,209",,,,
589,Seasonal Influenza,States,Kansas,2017-18,Employees,95.4,,"64,369",,,,
590,Seasonal Influenza,States,Kentucky,2017-18,Employees,93,,"98,106",,,,
591,Seasonal Influenza,States,Louisiana,2017-18,Employees,90,,"93,327",,,,
592,Seasonal Influenza,States,Maine,2017-18,Employees,90.4,,"40,327",,,,
593,Seasonal Influenza,States,Maryland,2017-18,Employees,97.2,,"92,372",,,,
594,Seasonal Influenza,States,Massachusetts,2017-18,Employees,92.6,,"199,639",,,,
595,Seasonal Influenza,States,Michigan,2017-18,Employees,92.2,,"235,215",,,,
596,Seasonal Influenza,States,Minnesota,2017-18,Employees,85.7,,"129,710",,,,
597,Seasonal Influenza,States,Mississippi,2017-18,Employees,84.9,,"66,417",,,,
598,Seasonal Influenza,States,Missouri,2017-18,Employees,96.1,,"153,586",,,,
